"","X","Pos","Player","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr.","team_abbr","year"
"4861",4,"WR","Mike Wallace",26,"3",14,"64 catches for 836 yards, 8 td, & 5 rushes for 7 yards and 0 td","Pittsburgh Steelers / 3rd / 84th pick / 2009","pit",2012
"4862",5,"TE","Heath Miller*",30,"7",15,"71 catches for 816 yards, 8 td","Pittsburgh Steelers / 1st / 30th pick / 2005","pit",2012
"4863",6,"LT","Max Starks",30,"8",16,"1 fumble recovered","Pittsburgh Steelers / 3rd / 75th pick / 2004","pit",2012
"4864",7,"LG","Willie Colon",29,"6",11,"1 fumble recovered","Pittsburgh Steelers / 4th / 131st pick / 2006","pit",2012
"4865",8,"C","Maurkice Pouncey*",23,"2",15,"","Pittsburgh Steelers / 1st / 18th pick / 2010","pit",2012
"4866",9,"RG","Ramon Foster",26,"3",16,"","","pit",2012
"4867",11,"DE","Evander Hood",25,"3",16,"","Pittsburgh Steelers / 1st / 32nd pick / 2009","pit",2012
"4868",12,"DE","Brett Keisel",34,"10",16,"","Pittsburgh Steelers / 7th / 242nd pick / 2002","pit",2012
"4869",13,"NT","Casey Hampton",35,"11",16,"","Pittsburgh Steelers / 1st / 19th pick / 2001","pit",2012
"4870",14,"LOLB","LaMarr Woodley",28,"5",13,"4.0 sacks, 1 interception, 1 fumble recovered","Pittsburgh Steelers / 2nd / 46th pick / 2007","pit",2012
"4871",15,"LILB","Larry Foote",32,"10",16,"4.0 sacks, 0 interceptions, 2 fumbles recovered","Pittsburgh Steelers / 4th / 128th pick / 2002","pit",2012
"4872",16,"RILB","Lawrence Timmons",26,"5",16,"6.0 sacks, 3 interceptions, 1 fumble recovered","Pittsburgh Steelers / 1st / 15th pick / 2007","pit",2012
"4873",17,"ROLB","James Harrison",34,"10",13,"6.0 sacks, 0 interceptions, 0 fumbles recovered","","pit",2012
"4874",18,"LCB","Keenan Lewis",26,"3",16,"","Pittsburgh Steelers / 3rd / 96th pick / 2009","pit",2012
"4875",19,"RCB","Ike Taylor",32,"9",12,"0.0 sacks, 1 interception, 0 fumbles recovered","Pittsburgh Steelers / 4th / 125th pick / 2003","pit",2012
"4876",20,"FS","Ryan Clark",33,"10",15,"0.0 sacks, 2 interceptions, 1 fumble recovered","","pit",2012
"4877",2,"QB","Ben Roethlisberger",31,"9",16,"375 for 584, 4,261 yards, 28 td, 14 int, & 27 rushes for 99 yards and 1 td","Pittsburgh Steelers / 1st / 11th pick / 2004","pit",2013
"4878",3,"RB","Le'Veon Bell",21,"Rook",13,"244 rushes for 860 yards, 8 td, & 45 catches for 399 yards and 0 td","Pittsburgh Steelers / 2nd / 48th pick / 2013","pit",2013
"4879",4,"WR","Antonio Brown*",25,"3",14,"110 catches for 1,499 yards, 8 td, & 7 rushes for 4 yards and 0 td","Pittsburgh Steelers / 6th / 195th pick / 2010","pit",2013
"4880",5,"WR","Emmanuel Sanders",26,"3",10,"67 catches for 740 yards, 6 td, & 1 rush for 25 yards and 0 td","Pittsburgh Steelers / 3rd / 82nd pick / 2010","pit",2013
"4881",6,"TE","Heath Miller",31,"8",14,"58 catches for 593 yards, 1 td","Pittsburgh Steelers / 1st / 30th pick / 2005","pit",2013
"4882",7,"LT","Kelvin Beachum",24,"1",12,"","Pittsburgh Steelers / 7th / 248th pick / 2012","pit",2013
"4883",8,"LG","Ramon Foster",27,"4",15,"","","pit",2013
"4884",9,"C","Fernando Velasco",28,"4",11,"","","pit",2013
"4885",10,"RG","David DeCastro",23,"1",15,"","Pittsburgh Steelers / 1st / 24th pick / 2012","pit",2013
"4886",11,"RT","Marcus Gilbert",25,"2",16,"","Pittsburgh Steelers / 2nd / 63rd pick / 2011","pit",2013
"4887",13,"DE","Cameron Heyward",24,"2",13,"","Pittsburgh Steelers / 1st / 31st pick / 2011","pit",2013
"4888",14,"DE","Brett Keisel",35,"11",12,"","Pittsburgh Steelers / 7th / 242nd pick / 2002","pit",2013
"4889",15,"NT","Steve McLendon",27,"3",10,"","","pit",2013
"4890",16,"LOLB","LaMarr Woodley",29,"6",11,"5.0 sacks, 0 interceptions, 1 fumble recovered","Pittsburgh Steelers / 2nd / 46th pick / 2007","pit",2013
"4891",17,"LILB","Vince Williams",24,"Rook",11,"","Pittsburgh Steelers / 6th / 206th pick / 2013","pit",2013
"4892",18,"RILB","Lawrence Timmons",27,"6",16,"3.0 sacks, 2 interceptions, 1 fumble recovered","Pittsburgh Steelers / 1st / 15th pick / 2007","pit",2013
"4893",19,"LCB","William Gay",28,"6",11,"1.0 sacks, 1 interception, 0 fumbles recovered","Pittsburgh Steelers / 5th / 170th pick / 2007","pit",2013
"4894",20,"RCB","Ike Taylor",33,"10",16,"","Pittsburgh Steelers / 4th / 125th pick / 2003","pit",2013
"4895",21,"SS","Troy Polamalu*",32,"10",16,"2.0 sacks, 2 interceptions, 1 fumble recovered","Pittsburgh Steelers / 1st / 16th pick / 2003","pit",2013
"4896",22,"FS","Ryan Clark",34,"11",16,"0.0 sacks, 2 interceptions, 1 fumble recovered","","pit",2013
"4897",2,"QB","Ben Roethlisberger*",32,"10",16,"408 for 608, 4,952 yards, 32 td, 9 int, & 33 rushes for 27 yards and 0 td","Pittsburgh Steelers / 1st / 11th pick / 2004","pit",2014
"4898",3,"RB","Le'Veon Bell*+",22,"1",16,"290 rushes for 1,361 yards, 8 td, & 83 catches for 854 yards and 3 td","Pittsburgh Steelers / 2nd / 48th pick / 2013","pit",2014
"4899",4,"WR","Antonio Brown*+",26,"4",16,"129 catches for 1,698 yards, 13 td, & 4 rushes for 13 yards and 0 td","Pittsburgh Steelers / 6th / 195th pick / 2010","pit",2014
"4900",5,"WR","Markus Wheaton",23,"1",11,"53 catches for 644 yards, 2 td, & 4 rushes for 19 yards and 0 td","Pittsburgh Steelers / 3rd / 79th pick / 2013","pit",2014
"4901",6,"TE","Heath Miller",32,"9",16,"66 catches for 761 yards, 3 td","Pittsburgh Steelers / 1st / 30th pick / 2005","pit",2014
"4902",7,"LT","Kelvin Beachum",25,"2",16,"","Pittsburgh Steelers / 7th / 248th pick / 2012","pit",2014
"4903",8,"LG","Ramon Foster",28,"5",14,"","","pit",2014
"4904",9,"C","Maurkice Pouncey*+",25,"4",16,"","Pittsburgh Steelers / 1st / 18th pick / 2010","pit",2014
"4905",10,"RG","David DeCastro",24,"2",16,"","Pittsburgh Steelers / 1st / 24th pick / 2012","pit",2014
"4906",11,"RT","Marcus Gilbert",26,"3",12,"1 fumble recovered","Pittsburgh Steelers / 2nd / 63rd pick / 2011","pit",2014
"4907",13,"DE","Cameron Heyward",25,"3",16,"","Pittsburgh Steelers / 1st / 31st pick / 2011","pit",2014
"4908",14,"DE","Cam Thomas",28,"4",9,"","San Diego Chargers / 5th / 146th pick / 2010","pit",2014
"4909",15,"NT","Steve McLendon",28,"4",11,"1.0 sacks, 0 interceptions, 0 fumbles recovered","","pit",2014
"4910",16,"LOLB","Jason Worilds",26,"4",16,"7.5 sacks, 1 interception, 2 fumbles recovered","Pittsburgh Steelers / 2nd / 52nd pick / 2010","pit",2014
"4911",17,"LILB","Sean Spence",25,"2",9,"1.0 sacks, 0 interceptions, 1 fumble recovered","Pittsburgh Steelers / 3rd / 86th pick / 2012","pit",2014
"4912",18,"RILB","Lawrence Timmons*",28,"7",16,"2.0 sacks, 0 interceptions, 0 fumbles recovered","Pittsburgh Steelers / 1st / 15th pick / 2007","pit",2014
"4913",19,"ROLB","Arthur Moats",26,"4",9,"4.0 sacks, 0 interceptions, 1 fumble recovered","Buffalo Bills / 6th / 178th pick / 2010","pit",2014
"4914",20,"SS","Troy Polamalu",33,"11",12,"0.0 sacks, 0 interceptions, 1 fumble recovered","Pittsburgh Steelers / 1st / 16th pick / 2003","pit",2014
"4915",21,"FS","Michael Mitchell",27,"5",16,"","Oakland Raiders / 2nd / 47th pick / 2009","pit",2014
"4916",2,"QB","Ben Roethlisberger*",33,"11",11,"319 for 469, 3,938 yards, 21 td, 16 int, & 15 rushes for 29 yards and 0 td","Pittsburgh Steelers / 1st / 11th pick / 2004","pit",2015
"4917",3,"RB","DeAngelo Williams",32,"9",10,"200 rushes for 907 yards, 11 td, & 40 catches for 367 yards and 0 td","Carolina Panthers / 1st / 27th pick / 2006","pit",2015
"4918",4,"WR","Antonio Brown*+",27,"5",16,"136 catches for 1,834 yards, 10 td, & 3 rushes for 28 yards and 0 td","Pittsburgh Steelers / 6th / 195th pick / 2010","pit",2015
"4919",5,"WR","Markus Wheaton",24,"2",8,"44 catches for 749 yards, 5 td","Pittsburgh Steelers / 3rd / 79th pick / 2013","pit",2015
"4920",6,"TE","Heath Miller",33,"10",15,"60 catches for 535 yards, 2 td, & 1 rush for 2 yards and 0 td","Pittsburgh Steelers / 1st / 30th pick / 2005","pit",2015
"4921",7,"LT","Alejandro Villanueva",27,"1",10,"","","pit",2015
"4922",8,"LG","Ramon Foster",29,"6",16,"","","pit",2015
"4923",9,"C","Cody Wallace",31,"7",16,"","San Francisco 49ers / 4th / 107th pick / 2008","pit",2015
"4924",10,"RG","David DeCastro*+",25,"3",16,"","Pittsburgh Steelers / 1st / 24th pick / 2012","pit",2015
"4925",11,"RT","Marcus Gilbert",27,"4",16,"","Pittsburgh Steelers / 2nd / 63rd pick / 2011","pit",2015
"4926",13,"DE","Cameron Heyward",26,"4",16,"","Pittsburgh Steelers / 1st / 31st pick / 2011","pit",2015
"4927",14,"DE","Stephon Tuitt",22,"1",14,"","Pittsburgh Steelers / 2nd / 46th pick / 2014","pit",2015
"4928",15,"NT","Steve McLendon",29,"5",10,"1.0 sacks, 0 interceptions, 0 fumbles recovered","","pit",2015
"4929",16,"LOLB","Arthur Moats",27,"5",10,"4.0 sacks, 0 interceptions, 2 fumbles recovered","Buffalo Bills / 6th / 178th pick / 2010","pit",2015
"4930",17,"LILB","Ryan Shazier",23,"1",12,"3.5 sacks, 1 interception, 1 fumble recovered","Pittsburgh Steelers / 1st / 15th pick / 2014","pit",2015
"4931",18,"RILB","Lawrence Timmons",29,"8",16,"5.0 sacks, 1 interception, 0 fumbles recovered","Pittsburgh Steelers / 1st / 15th pick / 2007","pit",2015
"4932",19,"ROLB","Jarvis Jones",26,"2",15,"2.0 sacks, 1 interception, 2 fumbles recovered","Pittsburgh Steelers / 1st / 17th pick / 2013","pit",2015
"4933",20,"LCB","William Gay",30,"8",16,"1.0 sacks, 2 interceptions, 0 fumbles recovered","Pittsburgh Steelers / 5th / 170th pick / 2007","pit",2015
"4934",21,"RCB","Antwon Blake",25,"3",16,"1.0 sacks, 2 interceptions, 0 fumbles recovered","","pit",2015
"4935",22,"SS","Will Allen",33,"11",13,"4.0 sacks, 1 interception, 0 fumbles recovered","Tampa Bay Buccaneers / 4th / 111th pick / 2004","pit",2015
"4936",23,"FS","Michael Mitchell",28,"6",16,"0.0 sacks, 3 interceptions, 2 fumbles recovered","Oakland Raiders / 2nd / 47th pick / 2009","pit",2015
"4937",2,"QB","Ben Roethlisberger",34,"12",13,"304 for 476, 3,540 yards, 26 td, 11 int, & 15 rushes for 15 yards and 1 td","Pittsburgh Steelers / 1st / 11th pick / 2004","pit",2016
"4938",3,"RB","Le'Veon Bell",24,"3",11,"241 rushes for 1,146 yards, 6 td, & 72 catches for 601 yards and 1 td","Pittsburgh Steelers / 2nd / 48th pick / 2013","pit",2016
"4939",4,"WR","Antonio Brown",28,"6",14,"96 catches for 1,188 yards, 11 td, & 3 rushes for 9 yards and 0 td","Pittsburgh Steelers / 6th / 195th pick / 2010","pit",2016
"4940",5,"TE","Jesse James",22,"1",12,"33 catches for 273 yards, 3 td","Pittsburgh Steelers / 5th / 160th pick / 2015","pit",2016
"4941",6,"T","Marcus Gilbert",28,"5",11,"","Pittsburgh Steelers / 2nd / 63rd pick / 2011","pit",2016
"4942",7,"T","Alejandro Villanueva",28,"2",14,"","","pit",2016
"4943",8,"G","David DeCastro",26,"4",14,"","Pittsburgh Steelers / 1st / 24th pick / 2012","pit",2016
"4944",9,"G","Ramon Foster",30,"7",12,"","","pit",2016
"4945",10,"C","Maurkice Pouncey",27,"6",14,"","Pittsburgh Steelers / 1st / 18th pick / 2010","pit",2016
"4946",12,"DE","Stephon Tuitt",23,"2",14,"","Pittsburgh Steelers / 2nd / 46th pick / 2014","pit",2016
"4947",13,"DT","Javon Hargrave",23,"Rook",11,"","Pittsburgh Steelers / 3rd / 89th pick / 2016","pit",2016
"4948",14,"LB","Ryan Shazier",24,"2",10,"","Pittsburgh Steelers / 1st / 15th pick / 2014","pit",2016
"4949",15,"LB","Lawrence Timmons",30,"9",14,"","Pittsburgh Steelers / 1st / 15th pick / 2007","pit",2016
"4950",16,"CB","Ross Cockrell",25,"2",14,"0.0 sacks, 0 interceptions, 1 fumble recovered","Buffalo Bills / 4th / 109th pick / 2014","pit",2016
"4951",17,"S","Michael Mitchell",29,"7",14,"0.0 sacks, 1 interception, 0 fumbles recovered","Oakland Raiders / 2nd / 47th pick / 2009","pit",2016
"4952",2,"QB","Vinny Testaverde*",33,"9",16,"325 for 549, 4,177 yards, 33 td, 19 int, & 34 rushes for 188 yards and 2 td","Tampa Bay Buccaneers / 1st / 1st pick / 1987","rav",1996
"4953",3,"RB","Earnest Byner",34,"12",8,"159 rushes for 634 yards, 4 td, & 30 catches for 270 yards and 1 td","Cleveland Browns / 10th / 280th pick / 1984","rav",1996
"4954",4,"WR","Derrick Alexander",25,"2",14,"62 catches for 1,099 yards, 9 td, & 3 rushes for 0 yards and 0 td","Cleveland Browns / 1st / 29th pick / 1994","rav",1996
"4955",5,"WR","Michael Jackson",27,"5",16,"76 catches for 1,201 yards, 14 td","Cleveland Browns / 6th / 141st pick / 1991","rav",1996
"4956",6,"WR","Floyd Turner",30,"7",6,"38 catches for 461 yards, 2 td, & 2 rushes for 12 yards and 0 td","New Orleans Saints / 6th / 159th pick / 1989","rav",1996
"4957",7,"TE","Brian Kinchen",31,"8",16,"55 catches for 581 yards, 1 td","Miami Dolphins / 12th / 320th pick / 1988","rav",1996
"4958",8,"LT","Tony Jones",30,"8",15,"","","rav",1996
"4959",9,"LG","Jonathan Ogden",22,"Rook",16,"","Baltimore Ravens / 1st / 4th pick / 1996","rav",1996
"4960",10,"C","Wally Williams",25,"3",13,"","","rav",1996
"4961",11,"RG","Jeff Blackshear",27,"3",12,"","Seattle Seahawks / 8th / 197th pick / 1993","rav",1996
"4962",12,"RT","Orlando Brown",26,"2",16,"","","rav",1996
"4963",14,"LDE","Mike Frederick",24,"1",11,"","Cleveland Browns / 3rd / 94th pick / 1995","rav",1996
"4964",15,"NT","James Jones",27,"5",11,"1.0 sacks, 0 interceptions, 0 fumbles recovered","Cleveland Browns / 3rd / 57th pick / 1991","rav",1996
"4965",16,"RDE","Anthony Pleasant",28,"6",12,"4.0 sacks, 0 interceptions, 1 fumble recovered","Cleveland Browns / 3rd / 73rd pick / 1990","rav",1996
"4966",17,"LOLB","Mike Croel",27,"5",16,"3.0 sacks, 1 interception, 0 fumbles recovered","Denver Broncos / 1st / 4th pick / 1991","rav",1996
"4967",18,"LILB","Ray Lewis",21,"Rook",13,"2.5 sacks, 1 interception, 0 fumbles recovered","Baltimore Ravens / 1st / 26th pick / 1996","rav",1996
"4968",19,"RILB","Mike Caldwell",25,"3",9,"4.5 sacks, 1 interception, 0 fumbles recovered","Cleveland Browns / 3rd / 83rd pick / 1993","rav",1996
"4969",20,"ROLB","Keith Goganious",28,"4",8,"","Buffalo Bills / 3rd / 83rd pick / 1992","rav",1996
"4970",21,"LCB","Antonio Langham",24,"2",14,"0.0 sacks, 5 interceptions, 0 fumbles recovered","Cleveland Browns / 1st / 9th pick / 1994","rav",1996
"4971",22,"RCB","Donny Brady",23,"1",13,"0.5 sacks, 0 interceptions, 1 fumble recovered","","rav",1996
"4972",23,"SS","Stevon Moore",29,"6",16,"0.0 sacks, 1 interception, 1 fumble recovered","New York Jets / 7th / 181st pick / 1989","rav",1996
"4973",24,"FS","Eric Turner*",28,"5",14,"0.0 sacks, 5 interceptions, 0 fumbles recovered","Cleveland Browns / 1st / 2nd pick / 1991","rav",1996
"4974",26,"K","Matt Stover",28,"5",0,"19 of 25 field goals & 34 of 35 extra points","New York Giants / 12th / 329th pick / 1990","rav",1996
"4975",27,"P","Greg Montgomery",32,"8",0,"68 punts for a 43.8 average, 1 blocked","Houston Oilers / 3rd / 72nd pick / 1988","rav",1996
"4976",28,"PR","Jermaine Lewis",22,"Rook",1,"36 punt returns for a 9.4 average and 0 td","Baltimore Ravens / 5th / 153rd pick / 1996","rav",1996
"4977",29,"KR","Jermaine Lewis",22,"Rook",1,"41 kick returns for a 21.5 average and 0 td","Baltimore Ravens / 5th / 153rd pick / 1996","rav",1996
"4978",2,"QB","Vinny Testaverde",34,"10",13,"271 for 470, 2,971 yards, 18 td, 15 int, & 34 rushes for 138 yards and 0 td","Tampa Bay Buccaneers / 1st / 1st pick / 1987","rav",1997
"4979",3,"RB","Bam Morris",25,"3",8,"204 rushes for 774 yards, 4 td, & 29 catches for 176 yards and 0 td","Pittsburgh Steelers / 3rd / 91st pick / 1994","rav",1997
"4980",4,"WR","Derrick Alexander",26,"3",13,"65 catches for 1,009 yards, 9 td, & 1 rush for 0 yards and 0 td","Cleveland Browns / 1st / 29th pick / 1994","rav",1997
"4981",5,"WR","Michael Jackson",28,"6",15,"69 catches for 918 yards, 4 td","Cleveland Browns / 6th / 141st pick / 1991","rav",1997
"4982",6,"WR","Jermaine Lewis",23,"1",7,"42 catches for 648 yards, 6 td, & 3 rushes for 35 yards and 0 td","Baltimore Ravens / 5th / 153rd pick / 1996","rav",1997
"4983",7,"TE","Eric Green",30,"7",15,"65 catches for 601 yards, 5 td","Pittsburgh Steelers / 1st / 21st pick / 1990","rav",1997
"4984",8,"LT","Jonathan Ogden*+",23,"1",16,"","Baltimore Ravens / 1st / 4th pick / 1996","rav",1997
"4985",9,"LG","Ben Cavil",25,"Rook",8,"","","rav",1997
"4986",10,"C","Wally Williams",26,"4",10,"","","rav",1997
"4987",11,"RG","Jeff Blackshear",28,"4",16,"","Seattle Seahawks / 8th / 197th pick / 1993","rav",1997
"4988",12,"RT","Orlando Brown",27,"3",16,"","","rav",1997
"4989",14,"LDE","Rob Burnett",30,"7",15,"4.0 sacks, 0 interceptions, 1 fumble recovered","Cleveland Browns / 5th / 129th pick / 1990","rav",1997
"4990",15,"LDT","James Jones",28,"6",16,"6.0 sacks, 0 interceptions, 1 fumble recovered","Cleveland Browns / 3rd / 57th pick / 1991","rav",1997
"4991",16,"RDT","Tony Siragusa",30,"7",13,"0.0 sacks, 0 interceptions, 1 fumble recovered","","rav",1997
"4992",17,"RDE","Michael McCrary",27,"4",15,"9.0 sacks, 0 interceptions, 2 fumbles recovered","Seattle Seahawks / 7th / 170th pick / 1993","rav",1997
"4993",18,"LLB","Peter Boulware",23,"Rook",16,"11.5 sacks, 0 interceptions, 0 fumbles recovered","Baltimore Ravens / 1st / 4th pick / 1997","rav",1997
"4994",19,"MLB","Ray Lewis*",22,"1",16,"4.0 sacks, 1 interception, 1 fumble recovered","Baltimore Ravens / 1st / 26th pick / 1996","rav",1997
"4995",20,"RLB","Jamie Sharper",23,"Rook",15,"3.0 sacks, 1 interception, 0 fumbles recovered","Baltimore Ravens / 2nd / 34th pick / 1997","rav",1997
"4996",21,"LCB","Antonio Langham",25,"3",15,"1.0 sacks, 3 interceptions, 0 fumbles recovered","Cleveland Browns / 1st / 9th pick / 1994","rav",1997
"4997",22,"RCB","DeRon Jenkins",24,"1",6,"0.0 sacks, 1 interception, 1 fumble recovered","Baltimore Ravens / 2nd / 55th pick / 1996","rav",1997
"4998",23,"SS","Stevon Moore",30,"7",13,"0.0 sacks, 4 interceptions, 0 fumbles recovered","New York Jets / 7th / 181st pick / 1989","rav",1997
"4999",24,"FS","Rondell Jones",26,"4",12,"0.0 sacks, 1 interception, 0 fumbles recovered","Denver Broncos / 3rd / 69th pick / 1993","rav",1997
"5000",26,"K","Matt Stover",29,"6",0,"26 of 34 field goals & 32 of 32 extra points","New York Giants / 12th / 329th pick / 1990","rav",1997
"5001",27,"P","Greg Montgomery",33,"9",0,"83 punts for a 42.7 average, 0 blocked","Houston Oilers / 3rd / 72nd pick / 1988","rav",1997
"5002",28,"PR","Jermaine Lewis",23,"1",7,"28 punt returns for a 15.6 average and 2 td","Baltimore Ravens / 5th / 153rd pick / 1996","rav",1997
"5003",29,"KR","Jermaine Lewis",23,"1",7,"41 kick returns for a 22.1 average and 0 td","Baltimore Ravens / 5th / 153rd pick / 1996","rav",1997
"5004",2,"QB","Jim Harbaugh",35,"11",12,"164 for 293, 1,839 yards, 12 td, 11 int, & 40 rushes for 172 yards and 0 td","Chicago Bears / 1st / 26th pick / 1987","rav",1998
"5005",3,"RB","Priest Holmes",25,"1",13,"233 rushes for 1,008 yards, 7 td, & 43 catches for 260 yards and 0 td","","rav",1998
"5006",4,"FB","Roosevelt Potts",27,"5",15,"36 rushes for 115 yards, 0 td, & 30 catches for 168 yards and 2 td","Indianapolis Colts / 2nd / 49th pick / 1993","rav",1998
"5007",5,"WR","Michael Jackson",29,"7",12,"38 catches for 477 yards, 0 td","Cleveland Browns / 6th / 141st pick / 1991","rav",1998
"5008",6,"WR","Jermaine Lewis*+",24,"2",13,"41 catches for 784 yards, 6 td, & 5 rushes for 20 yards and 0 td","Baltimore Ravens / 5th / 153rd pick / 1996","rav",1998
"5009",7,"TE","Eric Green",31,"8",12,"34 catches for 422 yards, 1 td","Pittsburgh Steelers / 1st / 21st pick / 1990","rav",1998
"5010",8,"LT","Jonathan Ogden*",24,"2",13,"","Baltimore Ravens / 1st / 4th pick / 1996","rav",1998
"5011",9,"LG","Wally Williams",27,"5",13,"1 fumble recovered","","rav",1998
"5012",10,"C","Jeff Mitchell",24,"Rook",10,"","Baltimore Ravens / 5th / 134th pick / 1997","rav",1998
"5013",11,"RG","Jeff Blackshear",29,"5",16,"","Seattle Seahawks / 8th / 197th pick / 1993","rav",1998
"5014",12,"RT","Orlando Brown",28,"4",13,"","","rav",1998
"5015",14,"LDE","Rob Burnett",31,"8",16,"2.5 sacks, 0 interceptions, 1 fumble recovered","Cleveland Browns / 5th / 129th pick / 1990","rav",1998
"5016",15,"LDT","James Jones",29,"7",16,"5.5 sacks, 0 interceptions, 1 fumble recovered","Cleveland Browns / 3rd / 57th pick / 1991","rav",1998
"5017",16,"RDT","Tony Siragusa",31,"8",15,"0.0 sacks, 0 interceptions, 1 fumble recovered","","rav",1998
"5018",17,"RDE","Michael McCrary*",28,"5",16,"14.5 sacks, 0 interceptions, 0 fumbles recovered","Seattle Seahawks / 7th / 170th pick / 1993","rav",1998
"5019",18,"LLB","Peter Boulware*",24,"1",16,"8.5 sacks, 0 interceptions, 1 fumble recovered","Baltimore Ravens / 1st / 4th pick / 1997","rav",1998
"5020",19,"MLB","Ray Lewis*",23,"2",14,"3.0 sacks, 2 interceptions, 0 fumbles recovered","Baltimore Ravens / 1st / 26th pick / 1996","rav",1998
"5021",20,"RLB","Jamie Sharper",24,"1",16,"1.0 sacks, 0 interceptions, 0 fumbles recovered","Baltimore Ravens / 2nd / 34th pick / 1997","rav",1998
"5022",21,"LCB","Rod Woodson",33,"11",16,"0.0 sacks, 6 interceptions, 0 fumbles recovered","Pittsburgh Steelers / 1st / 10th pick / 1987","rav",1998
"5023",22,"RCB","Duane Starks",24,"Rook",8,"0.0 sacks, 5 interceptions, 0 fumbles recovered","Baltimore Ravens / 1st / 10th pick / 1998","rav",1998
"5024",23,"SS","Stevon Moore",31,"8",16,"","New York Jets / 7th / 181st pick / 1989","rav",1998
"5025",24,"FS","Kim Herring",23,"1",7,"","Baltimore Ravens / 2nd / 58th pick / 1997","rav",1998
"5026",26,"K","Matt Stover",30,"7",0,"21 of 28 field goals & 24 of 24 extra points","New York Giants / 12th / 329th pick / 1990","rav",1998
"5027",27,"P","Kyle Richardson",25,"1",0,"90 punts for a 43.9 average, 2 blocked","","rav",1998
"5028",28,"PR","Jermaine Lewis*+",24,"2",13,"32 punt returns for a 12.7 average and 2 td","Baltimore Ravens / 5th / 153rd pick / 1996","rav",1998
"5029",29,"KR","Corey Harris",29,"6",6,"35 kick returns for a 27.6 average and 1 td","Houston Oilers / 3rd / 77th pick / 1992","rav",1998
"5030",2,"QB","Tony Banks",26,"3",10,"169 for 320, 2,136 yards, 17 td, 8 int, & 24 rushes for 93 yards and 0 td","St. Louis Rams / 2nd / 42nd pick / 1996","rav",1999
"5031",3,"RB","Errict Rhett",29,"5",10,"236 rushes for 852 yards, 5 td, & 24 catches for 169 yards and 2 td","Tampa Bay Buccaneers / 2nd / 34th pick / 1994","rav",1999
"5032",4,"FB","Charles Evans",32,"6",10,"38 rushes for 134 yards, 0 td, & 32 catches for 235 yards and 1 td","Minnesota Vikings / 11th / 295th pick / 1992","rav",1999
"5033",5,"WR","Qadry Ismail",29,"6",16,"68 catches for 1,105 yards, 6 td, & 1 rush for 4 yards and 0 td","Minnesota Vikings / 2nd / 52nd pick / 1993","rav",1999
"5034",6,"TE","Aaron Pierce",30,"7",8,"11 catches for 102 yards, 0 td","New York Giants / 3rd / 69th pick / 1992","rav",1999
"5035",7,"LT","Jonathan Ogden*",25,"3",16,"2 fumbles recovered","Baltimore Ravens / 1st / 4th pick / 1996","rav",1999
"5036",8,"LG","Edwin Mulitalo",25,"Rook",8,"","Baltimore Ravens / 4th / 129th pick / 1999","rav",1999
"5037",9,"C","Jeff Mitchell",25,"1",16,"","Baltimore Ravens / 5th / 134th pick / 1997","rav",1999
"5038",10,"RG","Jeff Blackshear",30,"6",16,"","Seattle Seahawks / 8th / 197th pick / 1993","rav",1999
"5039",11,"RT","Everett Lindsay",29,"6",16,"","Minnesota Vikings / 5th / 133rd pick / 1993","rav",1999
"5040",13,"DE","Rob Burnett",32,"9",16,"","Cleveland Browns / 5th / 129th pick / 1990","rav",1999
"5041",14,"DE","Michael McCrary*",29,"6",16,"","Seattle Seahawks / 7th / 170th pick / 1993","rav",1999
"5042",15,"LDT","Larry Webster",30,"7",16,"2.0 sacks, 0 interceptions, 0 fumbles recovered","Miami Dolphins / 3rd / 70th pick / 1992","rav",1999
"5043",16,"RDT","Tony Siragusa",32,"9",14,"3.5 sacks, 0 interceptions, 1 fumble recovered","","rav",1999
"5044",17,"MLB","Ray Lewis*+",24,"3",16,"3.5 sacks, 3 interceptions, 0 fumbles recovered","Baltimore Ravens / 1st / 26th pick / 1996","rav",1999
"5045",18,"LB","Peter Boulware*",25,"2",11,"","Baltimore Ravens / 1st / 4th pick / 1997","rav",1999
"5046",19,"LB","Jamie Sharper",25,"2",16,"","Baltimore Ravens / 2nd / 34th pick / 1997","rav",1999
"5047",20,"SS","Kim Herring",24,"2",16,"0.0 sacks, 0 interceptions, 2 fumbles recovered","Baltimore Ravens / 2nd / 58th pick / 1997","rav",1999
"5048",21,"FS","Rod Woodson*",34,"12",16,"0.0 sacks, 7 interceptions, 2 fumbles recovered","Pittsburgh Steelers / 1st / 10th pick / 1987","rav",1999
"5049",2,"RB","Jamal Lewis",21,"Rook",13,"309 rushes for 1,364 yards, 6 td, & 27 catches for 296 yards and 0 td","Baltimore Ravens / 1st / 5th pick / 2000","rav",2000
"5050",3,"WR","Qadry Ismail",30,"7",13,"49 catches for 655 yards, 5 td","Minnesota Vikings / 2nd / 52nd pick / 1993","rav",2000
"5051",4,"TE","Shannon Sharpe",32,"10",15,"67 catches for 810 yards, 5 td","Denver Broncos / 7th / 192nd pick / 1990","rav",2000
"5052",5,"LT","Jonathan Ogden*+",26,"4",15,"2 fumbles recovered","Baltimore Ravens / 1st / 4th pick / 1996","rav",2000
