"","X","Pos","Player","Age","Yrs","GS","Summary.of.Player.Stats","Drafted..tm.rnd.yr.","team_abbr","year"
"14641",17,"RDE","Shante Carver",25,"2",7,"3.0 sacks, 0 interceptions, 0 fumbles recovered","Dallas Cowboys / 1st / 23rd pick / 1994","dal",1996
"14642",18,"LLB","Broderick Thomas",29,"7",9,"4.5 sacks, 0 interceptions, 3 fumbles recovered","Tampa Bay Buccaneers / 1st / 6th pick / 1989","dal",1996
"14643",19,"MLB","Fred Strickland",30,"8",16,"1.0 sacks, 1 interception, 1 fumble recovered","Los Angeles Rams / 2nd / 47th pick / 1988","dal",1996
"14644",20,"RLB","Darrin Smith",26,"3",16,"1.0 sacks, 0 interceptions, 0 fumbles recovered","Dallas Cowboys / 2nd / 54th pick / 1993","dal",1996
"14645",21,"LCB","Kevin Smith",26,"4",16,"0.0 sacks, 5 interceptions, 0 fumbles recovered","Dallas Cowboys / 1st / 17th pick / 1992","dal",1996
"14646",22,"RCB","Deion Sanders*+",29,"7",15,"0.0 sacks, 2 interceptions, 3 fumbles recovered","Atlanta Falcons / 1st / 5th pick / 1989","dal",1996
"14647",23,"SS","Darren Woodson*+",27,"4",16,"3.0 sacks, 5 interceptions, 1 fumble recovered","Dallas Cowboys / 2nd / 37th pick / 1992","dal",1996
"14648",24,"FS","Brock Marion",26,"3",10,"0.0 sacks, 0 interceptions, 1 fumble recovered","Dallas Cowboys / 7th / 196th pick / 1993","dal",1996
"14649",26,"K","Chris Boniol",25,"2",0,"32 of 36 field goals & 24 of 25 extra points","","dal",1996
"14650",27,"P","John Jett",28,"3",0,"74 punts for a 42.6 average, 0 blocked","","dal",1996
"14651",28,"PR","Kelvin Martin",31,"9",1,"41 punt returns for a 9.1 average and 0 td","Dallas Cowboys / 4th / 95th pick / 1987","dal",1996
"14652",29,"KR","Herschel Walker",34,"10",1,"27 kick returns for a 28.9 average and 0 td","Dallas Cowboys / 5th / 114th pick / 1985","dal",1996
"14653",2,"QB","Troy Aikman",31,"8",16,"292 for 518, 3,283 yards, 19 td, 12 int, & 25 rushes for 79 yards and 0 td","Dallas Cowboys / 1st / 1st pick / 1989","dal",1997
"14654",3,"RB","Emmitt Smith",28,"7",16,"261 rushes for 1,074 yards, 4 td, & 40 catches for 234 yards and 0 td","Dallas Cowboys / 1st / 17th pick / 1990","dal",1997
"14655",4,"FB","Daryl Johnston",31,"8",6,"2 rushes for 3 yards, 0 td, & 18 catches for 166 yards and 1 td","Dallas Cowboys / 2nd / 39th pick / 1989","dal",1997
"14656",5,"WR","Michael Irvin",31,"9",16,"75 catches for 1,180 yards, 9 td","Dallas Cowboys / 1st / 11th pick / 1988","dal",1997
